LANE DESCRIPTION,SOURCE,REGION,DESTINATION,TRUCK SIZE,UNUSED,RATE (KES)
KBL NBO F20 - NYAHURURU 7.5T SPIRIT,NBO,Rift,NYAHURURU,7.5T,,38685.21
KBL NBO F20 - NYAHURURU P/up Beer,NBO,Rift,NYAHURURU,P/UP,,35677.7
KBL NBO F20 - NYAHURURU P/up Spirit,NBO,Rift,NYAHURURU,P/UP,,34977.7
F24 - BDC - ATHI RIVER - Spirits - 14T,NBO,Nairobi,ATHI RIVER,14T,,12696.17
F24 - BDC - ATHI RIVER - Spirits - 30T,NBO,Nairobi,ATHI RIVER,30T,,18874.7
F24 - BDC - ATHI RIVER - Spirits - 7.5T,NBO,Nairobi,ATHI RIVER,7.5T,,23434.54
F24 - BDC - ATHI RIVER - Spirits - P/Up,NBO,Nairobi,ATHI RIVER,P/UP,,12403.03
F24 - BDC - BABADOGO - Spirits - 14T,NBO,Nairobi,BABADOGO,14T,,11346.46
F24 - BDC - BABADOGO - Spirits - 30T,NBO,Nairobi,BABADOGO,30T,,16698.21
F24 - BDC - BABADOGO - Spirits - 7.5T,NBO,Nairobi,BABADOGO,7.5T,,16052.66
F24 - BDC - BABADOGO - Spirits - P/Up,NBO,Nairobi,BABADOGO,P/UP,,12403.03
F24 - BDC - BURUBURU - Spirits - 14T,NBO,Nairobi,BURUBURU,14T,,11346.46
F24 - BDC - BURUBURU - Spirits - 30T,NBO,Nairobi,BURUBURU,30T,,18700.84
F24 - BDC - BURUBURU - Spirits - 7.5T,NBO,Nairobi,BURUBURU,7.5T,,16052.67
F24 - BDC - BURUBURU - Spirits - P/Up,NBO,Nairobi,BURUBURU,P/UP,,12403.03
F24 - BDC - DAGORETTI CORNER - Spirits - 14T,NBO,Nairobi,DAGORETTI CORNER,14T,,11346.46
F24 - BDC - DAGORETTI CORNER - Spirits - 30T,NBO,Nairobi,DAGORETTI CORNER,30T,,19022.91
F24 - BDC - DAGORETTI CORNER - Spirits - 7.5T,NBO,Nairobi,DAGORETTI CORNER,7.5T,,16052.67
F24 - BDC - DAGORETTI CORNER - Spirits - P/Up,NBO,Nairobi,DAGORETTI CORNER,P/UP,,12403.03
F24 - BDC - DANDORA EB - Spirits - 14T,NBO,Nairobi,DANDORA,14T,,13933.18
F24 - BDC - DANDORA EB - Spirits - 30T,NBO,Nairobi,DANDORA,30T,,16698.21
F24 - BDC - DANDORA EB - Spirits - 7.5T,NBO,Nairobi,DANDORA,7.5T,,16412.39
F24 - BDC - DANDORA EB - Spirits - P/Up,NBO,Nairobi,DANDORA,P/UP,,12403.03
F24 - BDC - GIKOMBA - Spirits - 14T,NBO,Nairobi,GIKOMBA,14T,,15851.56
F24 - BDC - GIKOMBA - Spirits - 30T,NBO,Nairobi,GIKOMBA,30T,,16698.21
F24 - BDC - GIKOMBA - Spirits - 7.5T,NBO,Nairobi,GIKOMBA,7.5T,,9235.62
F24 - BDC - GIKOMBA - Spirits - P/Up,NBO,Nairobi,GIKOMBA,P/UP,,12403.03
F24 - BDC - KAREN THT - Spirits - 14T,NBO,Nairobi,KAREN THT,14T,,11346.46
F24 - BDC - KAREN THT - Spirits - 30T,NBO,Nairobi,KAREN THT,30T,,16698.21
F24 - BDC - KAREN THT - Spirits - 7.5T,NBO,Nairobi,KAREN THT,7.5T,,16052.67
F24 - BDC - KAREN THT - Spirits - P/Up,NBO,Nairobi,KAREN THT,P/UP,,12403.03
F24 - BDC - KAWANGWARE EB - Spirits - 14T,NBO,Nairobi,KAWANGWARE,14T,,13538.63
F24 - BDC - KAWANGWARE EB - Spirits - 30T,NBO,Nairobi,KAWANGWARE,30T,,16698.21
F24 - BDC - KAWANGWARE EB - Spirits - 7.5T,NBO,Nairobi,KAWANGWARE,7.5T,,16052.67
F24 - BDC - KAWANGWARE EB - Spirits - P/Up,NBO,Nairobi,KAWANGWARE,P/UP,,12403.03
F24 - BDC - KIBERA EB - Spirits - 14T,NBO,Nairobi,KIBERA,14T,,13538.63
F24 - BDC - KIBERA EB - Spirits - 30T,NBO,Nairobi,KIBERA,30T,,16698.21
F24 - BDC - KIBERA EB - Spirits - 7.5T,NBO,Nairobi,KIBERA,7.5T,,10411.62
F24 - BDC - KIBERA EB - Spirits - P/Up,NBO,Nairobi,KIBERA,P/UP,,12403.03
F24 - BDC - LIMURU - Spirits - 14T,NBO,Nairobi,LIMURU,14T,,15704.85
F24 - BDC - LIMURU - Spirits - 30T,NBO,Nairobi,LIMURU,30T,,19811.8
F24 - BDC - LIMURU - Spirits - 7.5T,NBO,Nairobi,LIMURU,7.5T,,12008.15
F24 - BDC - LIMURU - Spirits - P/Up,NBO,Nairobi,LIMURU,P/UP,,12403.03
F24 - BDC - MATHARE EB - Spirits - 14T,NBO,Nairobi,MATHARE,14T,,11346.46
F24 - BDC - MATHARE EB - Spirits - 30T,NBO,Nairobi,MATHARE,30T,,16698.21
F24 - BDC - MATHARE EB - Spirits - 7.5T,NBO,Nairobi,MATHARE,7.5T,,10411.62
F24 - BDC - MATHARE EB - Spirits - P/Up,NBO,Nairobi,MATHARE,P/UP,,12403.03
